id,bgg_id,title,description,minplayers,maxplayers,minplaytime,maxplaytime,age_recommendation,complexity,year_published,more_info
1,1,"Monopoly","a great way to lose friends",2,4,10,120,10,4,1950,null
2,2,"Settlers of Catan","another great way to lose friends",2,4,10,1000,10,4,1975,null
3,3,"Settlers of Catan: Knights Edition","another great way to lose friends, but with knights this time",2,4,10,60,10,4,1980,null
4,4,"Code Names","yell at your friends",2,4,10,120,10,4,2000,null
5,5,"Risk","a great way to spend 10 hours of your life and lose friends",2,4,1000,999999,16,20,1965,null
6,342900,"Earthborne Rangers","Earthborne Rangers is a customizable, co-operative card game set in the wilderness of the far future. You take on the role of a Ranger, a protector of the mountain valley you call home: a vast wilderness transformed by monumental feats of science and technology devised to save the Earth from destruction long ago.&lt;br/&gt;&lt;br/&gt;You begin by building a deck that reflects your Ranger's interests, personal history, and personality. Then, as you explore the open world and your story takes shape, you augment your deck with improved equipment, refined skills, and the memories of your journey.&lt;br/&gt;&lt;br/&gt;The story of Earthborne Rangers is presented as a branching narrative campaign consisting of a main storyline and a multitude of side stories. In it, you can choose to follow the critical path or to strike off on your own to discover the Valley's many engaging characters, mysterious ruins, and beings both familiar and strange.&lt;br/&gt;&lt;br/&gt;Each game session represents one day in the Valley, and you'll pick up in the same location on the map where you rested the night before. Your goal is to either complete one of your available missions or to explore the open world. The session ends when you're either forced to rest (through either fatigue or injury), or you choose to rest for the night.&lt;br/&gt;&lt;br/&gt;An individual game session is played in rounds, and those rounds consist of turns. On your turn, you perform one action: either play a card from your hand, or choose an action from a card on the table. Each action allows you to interact thematically and narratively with the world, and each time you take an action, the world comes to life around you. Predators stalk their prey, rain pours from the sky, rocks tumble down the mountain to block your path, and much more.&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;",1,4,60,240,12,3.2353,2023,"https://boardgamegeek.com/boardgame/342900/earthborne rangers"
7,388367,"Innovation Ultimate","Innovation Ultimate contains the base game and five expansions. With the introduction of age 11, many of the cards in the base game and the expansions have been updated.&lt;br/&gt;&lt;br/&gt;",2,5,30,60,14,3,2024,"https://boardgamegeek.com/boardgame/388367/innovation ultimate"
8,396790,"Nucleum","When Elsa von Fr&amp;uuml;hlingfeld presented her invention to King Frederik Augustus II of Saxony, people thought it was trickery. She used the recently isolated element Uranium to heat up a jar of water and used the resulting steam to power an engine that kept the Uranium active via a process she called &amp;ldquo;atomization.&amp;rdquo; Her device, the Nucleum, ushered in a new era of energy and prosperity over the next decades. Saxony went from a minor regional power to the hub of European science and engineering. Now, a generation later, factories are still hungry for more power, demanding bigger and more Nucleums to be built, more Uranium imported from the nearby country of Bohemia, and railways and power lines built across the country to carry the tamed power of the atoms to Saxony&amp;rsquo;s great cities. Inventors, engineers, and industrialists flock to the Saxon court, vying to be the leader in this new industrial revolution.&lt;br/&gt;&lt;br/&gt;Nucleum is a heavy euro board game in which players take role of industrialists trying to succeed during the economic and technological boom of 19th-century Saxony, fueled by the invention and spread of the Nucleum (a nuclear reactor).&lt;br/&gt;&lt;br/&gt;Players earn victory points by developing their networks, building and powering urban buildings, securing contracts, and meeting milestones (randomized endgame goals). Each player also gets unique asymmetric technologies, giving them special powers when unlocked. Gameplay is continuous; players take turns one after another with no rounds or phases.&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;",1,4,60,150,14,3.6667,2023,"https://boardgamegeek.com/boardgame/396790/nucleum"
9,383179,"Age of Innovation","Age of Innovation is a standalone game set in the world of Terra Mystica.&lt;br/&gt;&lt;br/&gt;Twelve factions, each with unique characteristics, populate this world of varying terrains. Here you will compete to erect buildings and merge them into cities. Each game allows you to create new combinations of factions, homelands, and abilities so that each game isn't the same as another.&lt;br/&gt;&lt;br/&gt;You control one of these factions and will terraform the game map's terrain into your homelands where you can erect your buildings. Proximity to other factions may limit your expansion, but it also gains you significant advantages in the game. This tension adds to the appeal of the Terra Mystica series.&lt;br/&gt;&lt;br/&gt;Upgrade your buildings to gain valuable resources such as tools, scholars, money, and power. Build schools to advance in different sciences and collect books, which you can use to make innovations. Build your palace to gain a powerful new ability or build workshops, guilds, and universities to complete your culture.&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;",1,5,40,200,14,4.0526,2023,"https://boardgamegeek.com/boardgame/383179/age of innovation"
10,379078,"Expeditions","The sequel to Scythe sends players on a new adventure into Siberia, where a massive meteorite crashed near the Tunguska River, awakening ancient corruption. An expedition led by Dr. Tarkovsky ventures into the taiga to learn about the meteorite and its impact on the land. Itching for adventure, heroes from the war privately fund their own expeditions to Siberia, hoping to find artifacts, overcome challenges, and ultimately achieve glory.&lt;br/&gt;&lt;br/&gt;Expeditions is a competitive, card-driven, engine-building game of exploration. Play cards to gain power, guile, and unique worker abilities; move your mech to mysterious locations and gain cards found among the tiles; use workers, items, meteorites, and quests to enhance your mech; and use power and guile to vanquish corruption.&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the publisher&lt;br/&gt;&lt;br/&gt;",1,5,60,90,14,2.9833,2023,"https://boardgamegeek.com/boardgame/379078/expeditions"
